Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,5786,0,150.0,189.432614793977,53.15059993881732,1407.2339000413194,287303.3240580712,9.65428014595367,0.0,150,190,220,240,330,430,610,720,1300,1400,1400
POST,/api/customer/owners,1378,0,50,38.73414629845608,4.5550999930128455,323.24140006676316,134.68069666182873,2.2992737713660834,0.0,50,53,55,57,63,67,120,140,210,320,320
GET,/api/customer/owners/1,440,0,6,9.931050683107143,3.920900053344667,189.97619999572635,209.0,0.7341657905668191,0.0,6,8,9,10,12,16,79,100,190,190,190
GET,/api/customer/owners/10,436,0,6,10.044107341246013,3.9596999995410442,224.03669997584075,293.0,0.7274915561071207,0.0,6,7,9,10,12,16,62,97,220,220,220
GET,/api/customer/owners/2,414,0,7,11.465370529927403,3.838700009509921,529.3763999361545,214.0,0.6907832665787798,0.0,7,8,9,10,13,23,77,91,530,530,530
GET,/api/customer/owners/3,408,0,6,10.080700243741054,3.8659999845549464,162.98549994826317,291.0,0.6807719148892323,0.0,6,8,9,10,12,18,67,88,160,160,160
GET,/api/customer/owners/4,420,0,6,9.293943811263446,3.8219999987632036,140.4638000531122,208.0,0.7007946182683273,0.0,6,8,9,10,12,15,53,78,140,140,140
GET,/api/customer/owners/5,438,0,6,9.688263468776052,4.014799953438342,136.35219994466752,211.0,0.7308286733369699,0.0,6,8,9,10,11,16,57,110,140,140,140
GET,/api/customer/owners/6,398,0,6,11.118074372731355,3.939900081604719,152.17519993893802,283.0,0.6640863287399864,0.0,6,8,9,10,13,37,110,120,150,150,150
GET,/api/customer/owners/7,407,0,6,10.64776486564995,3.9558999706059694,552.5958000216633,202.0,0.6791033562743076,0.0,6,7,9,10,12,16,60,93,550,550,550
GET,/api/customer/owners/8,453,0,6,10.357238631130137,3.8075000047683716,170.71960004977882,209.0,0.7558570525608388,0.0,6,7,9,9,12,21,83,96,170,170,170
GET,/api/customer/owners/9,441,0,6,13.787423127463885,3.832699963822961,399.27289995830506,216.0,0.7358343491817437,0.0,6,8,9,10,12,43,110,170,400,400,400
GET,/api/vet/vets,2870,0,7,8.056267561149241,4.873399971984327,33.187500084750354,653.0,4.78876322483357,0.0,7,8,9,10,11,12,14,17,28,33,33
,Aggregated,14289,0,13,85.22922284958662,3.8075000047683716,1407.2339000413194,116550.37609349849,23.84203404865745,0.0,13,100,130,150,220,300,440,580,1000,1400,1400
