Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,4578,2820,2000.0,4458.44200270776,2.504299976862967,10100.36120004952,489933.07186544343,7.641871952472519,4.707312998246506,2000,8700,9300,9600,10000,10000,10000,10000,10000,10000,10000
POST,/api/customer/owners,1140,554,1800.0,3566.769911053288,3.2507999567314982,10064.540600054897,95.45526315789473,1.9029563184400768,0.9247700003647391,2300,6500,7100,7400,8100,8700,9300,10000,10000,10000,10000
GET,/api/customer/owners/1,365,180,1600.0,3560.2638698645474,2.9662000015378,10021.865000016987,179.07123287671232,0.6092798738865158,0.3004667871221174,1600,6400,7300,7600,8400,8900,10000,10000,10000,10000,10000
GET,/api/customer/owners/10,352,198,10,3038.9844056758607,3.1416999408975244,10012.50179996714,212.17613636363637,0.5875794948165851,0.3305134658343291,11,6000,6800,7200,8100,8800,9900,10000,10000,10000,10000
GET,/api/customer/owners/2,355,166,4700.0,3723.4037129579006,2.9773999704048038,10013.011200004257,183.29577464788733,0.5925872746019537,0.2770971481237305,4700,6700,7200,7500,8200,8800,9900,10000,10000,10000,10000
GET,/api/customer/owners/3,368,197,11,3257.626135873105,3.2232000958174467,10013.428700040095,214.60326086956522,0.6142876536718844,0.32884420590587293,11,6300,7000,7300,8200,8700,9600,10000,10000,10000,10000
GET,/api/customer/owners/4,362,177,2600.0,3615.121677904441,2.8771000215783715,10007.52639991697,178.8121546961326,0.6042720941011472,0.2954590073367488,3200,6400,7100,7600,8400,9000,9600,10000,10000,10000,10000
GET,/api/customer/owners/5,370,198,17,3305.6059408127458,2.980699995532632,10021.645099972375,177.43783783783783,0.6176261735287969,0.3305134658343291,18,6400,6900,7300,8400,9200,10000,10000,10000,10000,10000
GET,/api/customer/owners/6,302,154,13,3393.6184483494712,2.9590000631287694,10008.030400029384,214.28807947019868,0.5041164983937747,0.257066028982256,13,6500,7100,7300,8200,8700,9600,9700,10000,10000,10000
GET,/api/customer/owners/7,303,160,8,3231.707911223416,2.942899940535426,10053.261000080965,173.65676567656766,0.5057857583222309,0.26708158855299324,8,6200,7100,7300,8100,8600,9500,10000,10000,10000,10000
GET,/api/customer/owners/8,331,187,8,3205.0853308193173,3.025699988938868,10008.678600075655,174.74924471299093,0.5525250363190047,0.31215160662131086,8,6200,7000,7400,8300,9300,9900,10000,10000,10000,10000
GET,/api/customer/owners/9,339,157,4400.0,3559.676581121786,3.1213999027386308,10007.730400073342,184.65781710914453,0.5658791157466544,0.2620738087676246,4400,6200,7000,7300,7900,8600,9100,9900,10000,10000,10000
GET,/api/vet/vets,2251,1112,8,8.883517548923477,2.421800047159195,130.4996000835672,399.2434473567303,3.7575040989549238,1.856217040443303,8,8,9,9,11,17,34,46,98,130,130
,Aggregated,11416,6260,10,3170.12418219212,2.421800047159195,10100.36120004952,196616.4476173791,19.056271343256068,10.449567152135861,10,6100,7500,8200,9500,10000,10000,10000,10000,10000,10000
