Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,9660,9446,5,556.9703471950761,1.9373000832274556,10149.96109995991,31052.71469979296,32.457707201414,31.73866482655866,5,6,7,7,10,7600,10000,10000,10000,10000,10000
POST,/api/customer/owners,2400,2346,52,505.3533121260504,3.630500053986907,10075.0979000004,55.83375,8.064026633891677,7.882586034629115,52,54,56,58,63,2600,10000,10000,10000,10000,10000
GET,/api/customer/owners/1,693,675,5,425.3691955258556,2.3900000378489494,10108.33369998727,150.55844155844156,2.328487690536222,2.2680074907820345,5,6,7,7,9,1600,10000,10000,10000,10000,10000
GET,/api/customer/owners/10,721,703,5,444.7949653244016,2.528300043195486,10053.88529994525,153.57004160887655,2.422568001264958,2.3620878015107705,5,6,7,7,9,1400,10000,10000,10000,10000,10000
GET,/api/customer/owners/2,719,696,5,592.1856292058106,2.246699994429946,10044.943000073545,151.07927677329624,2.4158479790700484,2.3385677238285862,5,6,7,8,9,8800,10000,10000,10000,10000,10000
GET,/api/customer/owners/3,763,742,5,493.71635858540157,2.575000049546361,10053.670800058171,152.90825688073394,2.5636884673580624,2.49312823431151,5,6,7,7,9,4600,10000,10000,10000,10000,10000
GET,/api/customer/owners/4,709,692,5,409.3730995805582,2.3671999806538224,10109.822300029919,150.41466854724965,2.3822478680954995,2.325127679438767,5,6,7,7,9,36,10000,10000,10000,10000,10000
GET,/api/customer/owners/5,736,711,5,511.5336361402866,2.1435999078676105,10050.029900041409,151.10597826086956,2.472968167726781,2.3889678902904095,5,6,7,7,9,5700,10000,10000,10000,10000,10000
GET,/api/customer/owners/6,672,662,5,458.8761245537344,2.47150007635355,10053.104899940081,150.99404761904762,2.2579274574896697,2.224327346515121,6,6,7,7,9,1400,10000,10000,10000,10000,10000
GET,/api/customer/owners/7,734,713,5,452.9998370602331,2.4339999072253704,10056.947999983095,150.51634877384197,2.466248145531871,2.395687912485319,5,6,7,7,10,55,10000,10000,10000,10000,10000
GET,/api/customer/owners/8,744,724,5,611.7863610210974,2.3852000012993813,10062.637399998493,150.61290322580646,2.49984825650642,2.4326480345573227,5,6,7,7,10,10000,10000,10000,10000,10000,10000
GET,/api/customer/owners/9,742,724,5,458.5363448781371,2.073200070299208,10074.584699934348,150.6253369272237,2.49312823431151,2.4326480345573227,5,6,7,7,9,3000,10000,10000,10000,10000,10000
GET,/api/vet/vets,4853,4523,5,6.5786076238785345,2.033500000834465,161.60860005766153,174.8835771687616,16.306133855948463,15.197330193788357,5,6,7,7,8,10,15,50,120,160,160
,Aggregated,24146,23357,6,420.19698905438014,1.9373000832274556,10149.96109995991,12509.149175846931,81.13082795914518,78.4797792032533,6,7,8,9,51,67,10000,10000,10000,10000,10000
