Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1761350988,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1761350989,20,,Aggregated,0.000000,0.000000,68,70,76,76,77,80,80,80,80,80,80,13,0,68,64.35181539004239,42.19140007626265,80.48150001559407,267.9230769230769
1761350990,60,,Aggregated,0.000000,0.000000,69,77,400,1500,1500,1700,1700,1700,1700,1700,1700,32,0,68,411.6573312385299,7.709600031375885,1707.903999951668,308297.9375
1761350991,80,,Aggregated,0.000000,0.000000,63,71,77,400,1500,1600,1700,1700,1700,1700,1700,41,0,63,331.54164877345374,7.709600031375885,1707.903999951668,240766.1219512195
1761350992,100,,Aggregated,15.500000,0.000000,70,1500,1700,1900,2700,2900,3000,3000,3000,3000,3000,58,0,69,815.4112086129568,7.709600031375885,2986.0840999754146,388777.1896551724
1761350993,120,,Aggregated,15.500000,0.000000,68,400,1600,1700,2700,2900,3000,3100,3100,3100,3100,66,0,68,768.1324515071923,7.709600031375885,3126.5075999544933,363060.1212121212
1761350994,140,,Aggregated,12.750000,0.000000,69,1500,1900,2700,3200,3600,3900,4400,4400,4400,4400,83,0,69,1049.3004831291892,7.6691999565809965,4381.400199956261,322715.3855421687
1761350995,160,,Aggregated,13.200000,0.000000,77,1700,2700,3000,3600,4300,4400,4500,4600,4600,4600,101,0,77,1241.6976663332414,7.2342000203207135,4592.424199916422,376841.2277227723
1761350996,180,,Aggregated,13.200000,0.000000,76,1600,2700,3000,3600,4300,4400,4500,4600,4600,4600,104,0,76,1207.2120846121554,7.2342000203207135,4592.424199916422,365989.64423076925
1761350997,200,,Aggregated,14.285714,0.000000,93,2400,3200,3600,5300,5600,6000,6100,6200,6200,6200,127,0,93,1657.2452165300072,7.2342000203207135,6185.821400023997,399603.9527559055
1761350998,200,,Aggregated,13.000000,0.000000,80,1900,3100,3600,5300,5600,6100,6100,6200,6200,6200,137,0,80,1584.3305262714882,7.2342000203207135,6185.821400023997,380763.3868613139
1761350999,200,,Aggregated,13.555556,0.000000,92,2600,3600,4300,5600,7100,7700,7900,8000,8000,8000,151,0,92,1887.6751264848667,7.2342000203207135,7995.459099998698,401479.38410596026
1761351000,200,,Aggregated,13.555556,0.000000,100,2900,4100,5300,7100,7700,8000,8100,8200,8200,8200,159,0,100.0,2130.505713830415,7.2342000203207135,8184.053699951619,416740.8301886792
1761351001,200,,Aggregated,13.100000,0.000000,110,3100,4400,5600,7200,8000,9100,9300,9400,9400,9400,168,0,100.0,2341.2069202320363,7.2342000203207135,9374.288899940439,427987.14285714284
1761351002,200,,Aggregated,12.800000,0.000000,1500,3600,5600,6100,8700,9500,10000,10000,10000,10000,10000,182,7,1500.0,2859.6490664774765,7.2342000203207135,10069.025000091642,441539.2802197802
1761351003,200,,Aggregated,12.000000,0.000000,2400,5600,7600,8900,10000,10000,10000,10000,10000,10000,10000,205,28,2400.0,3664.2353073125932,7.2342000203207135,10069.025000091642,392017.3658536585
1761351004,200,,Aggregated,12.400000,0.000000,3200,7200,9500,10000,10000,10000,10000,10000,10000,10000,10000,237,56,3200.0,4355.674339238287,6.921499967575073,10100.895300041884,339112.5738396624
1761351005,200,,Aggregated,12.000000,1.100000,3600,8200,10000,10000,10000,10000,10000,10000,10000,10000,10000,280,99,3600.0,4582.823069998163,4.238799912855029,10100.895300041884,287056.175
1761351006,200,,Aggregated,14.600000,3.800000,3600,9500,10000,10000,10000,10000,10000,10000,10000,10000,10000,344,163,3600.0,4663.068776743806,3.4221999812871218,10100.895300041884,233675.5726744186
1761351007,200,,Aggregated,15.200000,7.100000,2800,9400,10000,10000,10000,10000,10000,10000,10000,10000,10000,412,231,2700.0,4430.173208008269,3.381800022907555,10100.895300041884,195130.25485436892
1761351008,200,,Aggregated,20.700000,13.000000,93,8000,10000,10000,10000,10000,10000,10000,10000,10000,10000,490,309,92,4012.2740455088206,3.381800022907555,10100.895300041884,164089.5285714286
1761351009,200,,Aggregated,26.000000,20.100000,56,5600,10000,10000,10000,10000,10000,10000,10000,10000,10000,577,396,56,3599.4090736549883,3.381800022907555,10100.895300041884,139368.15597920277
1761351010,200,,Aggregated,31.900000,27.300000,46,3900,10000,10000,10000,10000,10000,10000,10000,10000,10000,651,470,46,3283.3532817184655,3.381800022907555,10100.895300041884,123542.089093702
1761351011,200,,Aggregated,39.500000,35.800000,9,1500,8200,10000,10000,10000,10000,10000,10000,10000,10000,757,576,9,2943.917841346666,3.381800022907555,10100.895300041884,106261.75693527081
1761351012,200,,Aggregated,46.300000,44.100000,8,76,7100,10000,10000,10000,10000,10000,10000,10000,10000,843,662,8,2751.4724733083135,3.381800022907555,10100.895300041884,95434.79952550415
1761351013,200,,Aggregated,55.500000,53.500000,7,58,5600,10000,10000,10000,10000,10000,10000,10000,10000,948,767,7,2563.8797745772467,3.381800022907555,10100.895300041884,84879.48523206751
1761351014,200,,Aggregated,63.100000,62.500000,7,52,3500,9400,10000,10000,10000,10000,10000,10000,10000,1042,861,7,2381.1870729355205,3.381800022907555,10100.895300041884,77235.15547024952
1761351015,200,,Aggregated,70.900000,70.300000,7,48,1500,7100,10000,10000,10000,10000,10000,10000,10000,1141,960,7,2175.4450969318236,3.0368000734597445,10100.895300041884,70545.87992988607
1761351016,200,,Aggregated,78.300000,78.200000,6,14,65,4400,10000,10000,10000,10000,10000,10000,10000,1250,1069,6,1986.6850331989117,3.0119000002741814,10100.895300041884,64406.1312
1761351017,200,,Aggregated,83.600000,83.600000,6,11,58,3000,10000,10000,10000,10000,10000,10000,10000,1340,1159,6,1854.0139767153662,3.0119000002741814,10100.895300041884,60089.39701492537
1761351018,200,,Aggregated,88.700000,88.700000,6,9,53,400,10000,10000,10000,10000,10000,10000,10000,1441,1260,6,1724.7023267171712,3.0119000002741814,10100.895300041884,55887.442054129075
1761351019,200,,Aggregated,91.000000,91.000000,6,8,51,66,10000,10000,10000,10000,10000,10000,10000,1551,1370,6,1603.166685622188,3.0119000002741814,10100.895300041884,51933.43778207608
1761351020,200,,Aggregated,93.900000,93.900000,6,8,50,60,10000,10000,10000,10000,10000,10000,10000,1651,1470,6,1506.6651152637248,3.0119000002741814,10100.895300041884,48796.23016353725
1761351021,200,,Aggregated,95.700000,95.700000,6,8,48,55,10000,10000,10000,10000,10000,10000,10000,1762,1581,6,1412.2719695238861,3.0119000002741814,10100.895300041884,45731.05278093076
1761351022,200,,Aggregated,98.000000,98.000000,6,7,45,53,10000,10000,10000,10000,10000,10000,10000,1850,1669,6,1345.6058393520732,3.0119000002741814,10100.895300041884,43562.225945945946
1761351023,200,,Aggregated,99.000000,99.000000,6,7,22,52,10000,10000,10000,10000,10000,10000,10000,1956,1775,6,1273.2431647761898,3.0119000002741814,10100.895300041884,41208.973415132925
1761351024,200,,Aggregated,100.200000,100.200000,6,7,13,51,9400,10000,10000,10000,10000,10000,10000,2056,1875,6,1211.7987035520366,3.0119000002741814,10100.895300041884,39211.48686770428
1761351025,200,,Aggregated,100.700000,100.700000,6,7,11,50,8000,10000,10000,10000,10000,10000,10000,2165,1984,6,1151.2577373685,3.0119000002741814,10100.895300041884,37244.26420323326
1761351026,200,,Aggregated,100.100000,100.100000,6,7,11,50,7200,10000,10000,10000,10000,10000,10000,2251,2070,6,1107.7213786773177,3.0119000002741814,10100.895300041884,35826.45135495335
1761351027,200,,Aggregated,101.400000,101.400000,6,7,10,49,5700,10000,10000,10000,10000,10000,10000,2354,2173,6,1059.7370020402204,2.7449000626802444,10100.895300041884,34264.78589634664
1761351028,200,,Aggregated,100.200000,100.200000,6,7,10,48,5300,10000,10000,10000,10000,10000,10000,2453,2272,6,1017.3609636782749,2.7449000626802444,10100.895300041884,32887.45902975948
1761351029,200,,Aggregated,100.300000,100.300000,6,7,9,47,4100,10000,10000,10000,10000,10000,10000,2550,2369,6,979.0761448640158,2.297000028192997,10100.895300041884,31641.642352941177
1761351030,200,,Aggregated,101.000000,101.000000,6,7,9,46,3100,10000,10000,10000,10000,10000,10000,2655,2474,6,940.7881468561656,2.0888999570161104,10100.895300041884,30395.6263653484
1761351031,200,,Aggregated,100.100000,100.100000,6,7,9,45,1900,10000,10000,10000,10000,10000,10000,2755,2574,6,907.0514797473481,2.0888999570161104,10100.895300041884,29297.198185117966
1761351032,200,,Aggregated,99.800000,99.800000,6,7,9,40,1500,10000,10000,10000,10000,10000,10000,2862,2681,6,873.4657910914739,2.0888999570161104,10100.895300041884,28207.12928022362
1761351033,200,,Aggregated,98.300000,98.300000,6,7,9,15,93,10000,10000,10000,10000,10000,10000,2955,2774,6,846.2803886647064,2.0888999570161104,10100.895300041884,27323.734686971235
1761351034,200,,Aggregated,99.400000,99.400000,6,7,9,14,70,10000,10000,10000,10000,10000,10000,3059,2878,6,817.899244623965,2.0888999570161104,10100.895300041884,26399.364498202027
1761351035,200,,Aggregated,100.200000,100.200000,6,7,9,13,65,10000,10000,10000,10000,10000,10000,3160,2979,6,792.0679312988842,2.0888999570161104,10100.895300041884,25559.98734177215
1761351036,200,,Aggregated,99.500000,99.500000,6,7,9,13,62,10000,10000,10000,10000,10000,10000,3260,3079,6,768.1433964126452,2.0888999570161104,10100.895300041884,24780.058895705522
1761351037,200,,Aggregated,99.800000,99.800000,6,7,9,12,61,10000,10000,10000,10000,10000,10000,3357,3176,6,746.3093933587703,2.0888999570161104,10100.895300041884,24067.874292523087
1761351038,200,,Aggregated,99.700000,99.700000,6,7,9,11,60,10000,10000,10000,10000,10000,10000,3448,3267,6,726.9092868348954,2.0888999570161104,10100.895300041884,23436.23259860789
